name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
G - Old Town Guest House,Centro Storico,Private room,$115.00,4.74,559,43.76936,11.24082,2,2
BB Casa Schlatter/Artist's Atelier. triple bedroom,Campo di Marte,Private room,$124.00,5.0,2,43.77954,11.27986,2,4
BB Casa Schlatter Artist's Atelier. Room #3,Campo di Marte,Private room,$85.00,4.75,12,43.78144,11.28003,3,2
Artist atelier-Florence center,Campo di Marte,Entire home/apt,$250.00,4.92,50,43.77976,11.2801,7,8
"2 bedrooms, 2 bathrooms, in the heart of Florence",Centro Storico,Entire home/apt,$206.00,4.69,246,43.77023,11.26429,2,7
Quiet & Central Nest in Florence,Centro Storico,Entire home/apt,$109.00,4.77,150,43.78066,11.25774,3,4
Firenze flat with garden&free parking groundfloor,Centro Storico,Entire home/apt,$284.00,4.61,197,43.76797,11.2673,3,6
Palazzo Alfani Residence - Classic Apartment,Centro Storico,Entire home/apt,$300.00,4.85,20,43.77426,11.25699,2,4
typicol florentin studio,Centro Storico,Entire home/apt,$150.00,,0,43.76999,11.25345,31,2
Independent studio near SantaMariaNovella Station,Centro Storico,Entire home/apt,$88.00,4.71,432,43.78005,11.23944,2,3
Nice apt in Santo Spirito,Centro Storico,Entire home/apt,$84.00,4.95,22,43.76461,11.245603,2,2
"ampia, luminosa e silenziosa stanza privata",Campo di Marte,Private room,$72.00,4.85,27,43.79273,11.27445,31,2
1 bedroom flat in the best part of the center,Centro Storico,Entire home/apt,$171.00,5.0,1,43.7656,11.24738,31,2
Panoramic apartment in the center of Florence!,Centro Storico,Entire home/apt,$98.00,4.7,150,43.7684,11.24701,3,2
MODERN NEW FLAT CLOSE TO CITY CENTER,Centro Storico,Entire home/apt,$86.00,4.77,124,43.78455,11.23301,5,4
City View Gorgeous Apt -Elevator- High-Speed Wi-Fi,Centro Storico,Entire home/apt,$223.00,5.0,61,43.77398,11.2451,3,6
B&B FORTEZZA FIORENTINA SINGLE ROOM,Centro Storico,Hotel room,$69.00,4.75,118,43.77958,11.24487,2,1
Art appartment Santo Spirito Matteo,Centro Storico,Entire home/apt,$108.00,4.75,528,43.76619,11.24702,2,4
Oltrarno-Pitti palace area appartamento,Centro Storico,Entire home/apt,$105.00,4.75,121,43.76578,11.24858,8,2
MARIA - Apartment facing large terrace,Centro Storico,Entire home/apt,$170.00,,0,43.75932,11.24215,3,4
STUDIOLO - Charming Studio in a 1860' Villa,Centro Storico,Entire home/apt,$120.00,4.75,12,43.75865,11.2429,3,1
"Studio Flat Ponte Vecchio, WiFi-AC",Centro Storico,Entire home/apt,$107.00,4.82,453,43.7678,11.25149,2,2
central loft apartment top floor,Centro Storico,Entire home/apt,$90.00,4.88,93,43.77441,11.24667,31,2
Proconsolo Donatello Apartment by Mamo Florence,Centro Storico,Entire home/apt,$118.00,4.78,149,43.77079,11.25723,1,4
Ten minutes from downtown - comfort,Campo di Marte,Private room,$78.00,4.68,70,43.795,11.27532,2,2
Spectacular private terrace Duomo - private house,Centro Storico,Entire home/apt,$297.00,4.77,651,43.77318,11.25748,2,4
Apartment 1 min. from Ponte Vecchio,Centro Storico,Entire home/apt,$78.00,4.76,128,43.76626,11.2523,4,4
Apt Niccolo' a Ponte Vecchio-Heart of Florence,Centro Storico,Entire home/apt,$91.00,4.16,45,43.76944,11.25912,1,4
Marignolle relais & charme Florence,Gavinana Galluzzo,Hotel room,,5.0,1,43.74434,11.21535,1,3
Living in the heart of Florence,Centro Storico,Entire home/apt,,4.73,38,43.76601,11.24161,3,5
Apt Iris 100m from Ponte Vecchio-Uffizi Gallery,Centro Storico,Entire home/apt,$95.00,4.22,69,43.76934,11.25833,1,5
Silent Oltrarno,Centro Storico,Entire home/apt,$114.00,4.92,677,43.76781,11.24412,3,5
Duomo Great Room Private Bathroom,Centro Storico,Private room,,4.9,614,43.77523,11.25625,2,1
⭐️Happy Florence Santa Croce 1⭐️,Centro Storico,Entire home/apt,$104.00,4.69,397,43.7704,11.26296,2,4
A place to stay,Centro Storico,Entire home/apt,$475.00,4.89,145,43.76356,11.24366,4,2
"Small Studio in S. Spirito, Oltrarno",Centro Storico,Entire home/apt,$105.00,4.84,233,43.76659,11.24675,4,1
Art Flat Florence,Centro Storico,Private room,$159.00,4.85,769,43.77168,11.25272,1,2
Centro Firenze Bellissimo Appartamento del 500,Centro Storico,Entire home/apt,$95.00,4.78,250,43.77911,11.26376,2,4
Novella House,Centro Storico,Entire home/apt,$327.00,4.75,343,43.77278,11.24895,1,8
Santa Croce cosy apt with a view,Centro Storico,Entire home/apt,$73.00,4.71,135,43.76905,11.25968,1,2
2)Independent apartment near  S.M. Novella station,Centro Storico,Entire home/apt,$92.00,4.91,420,43.77924,11.2399,2,3
Bellosguardo/San Francesco di Paola,Centro Storico,Entire home/apt,$150.00,4.94,374,43.76713,11.23977,2,5
Ponte Vecchio Living,Centro Storico,Entire home/apt,$142.00,4.78,82,43.7676,11.25214,3,3
Vibe Florence - Via della Chiesa 51,Centro Storico,Entire home/apt,$850.00,4.64,48,43.76697,11.24654,1,5
Apartment with Private Garden,Centro Storico,Entire home/apt,$157.00,4.79,103,43.77971,11.25633,2,6
